run_id,tag,epochs,val_ppl_last,val_loss_last,train_ppl_last,avg_nodes_last,policy_loss_last,val_ppl_best,best_epoch,total_training_time_sec,avg_epoch_time_sec,last_epoch_time_sec,batch_size,hidden_dim,embed_dim,seq_len,vocab_size,max_depth,max_children,pooling_mode,lr,weight_decay,lr_schedule,grad_clip,opt,dataset,num_rollouts,lambda_efficiency,beta_entropy,beta_policy,greedy_threshold,seed,infer_val_ppl,infer_val_loss,infer_avg_nodes,infer_sparsity_percent,infer_latency_ms_mean,infer_latency_ms_p50,infer_latency_ms_p90,infer_latency_ms_p99,infer_device,model_bytes,checkpoint_path,infer_mean_grow_prob,infer_above_threshold_pct
0,k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0,0,,,,,,,,,,,64,128,32,64,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0.pt,,
1,k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0,0,,,,,,,,,,,64,128,32,64,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0.pt,,
2,k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep15_rep0,0,,,,,,,,,,,64,128,32,64,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep15_rep0/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep15_rep0.pt,,
3,k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep20_rep0,0,,,,,,,,,,,64,128,32,64,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep20_rep0/k0_poolmean_hd128_ed32_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep20_rep0.pt,,
4,k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0,0,,,,,,,,,,,64,128,32,128,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0.pt,,
5,k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0,0,,,,,,,,,,,64,128,32,128,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0.pt,,
6,k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep15_rep0,0,,,,,,,,,,,64,128,32,128,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep15_rep0/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep15_rep0.pt,,
7,k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep20_rep0,0,,,,,,,,,,,64,128,32,128,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep20_rep0/k0_poolmean_hd128_ed32_sl128_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep20_rep0.pt,,
8,k0_poolmean_hd128_ed64_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0,0,,,,,,,,,,,64,128,64,64,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed64_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0/k0_poolmean_hd128_ed64_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep5_rep0.pt,,
9,k0_poolmean_hd128_ed64_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0,0,,,,,,,,,,,64,128,64,64,256,1,0,mean,0.001,0.0,cosine,1.0,adamw,shakespeare,1,0.0,0.01,0.5,0.5,42,,,,,,,,,,,runs/20251223_000203/k0_poolmean_hd128_ed64_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0/k0_poolmean_hd128_ed64_sl64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_ep10_rep0.pt,,
